Afar,Afar language,regular
Alumu-Tesu,Alumu-Tesu language,regular
Ari,Ari language,regular
Amal,Amal language,regular
Aranadan,Aranadan language,regular
Ambrak,Ambrak language,regular
Arifama-Miniafia,Arifama-Miniafia language,regular
Ankave,Ankave language,regular
Afade,Afade language,regular
Anambé,Anambé language,regular
Pará Arára,Pará Arára language,regular
Penobscot,Penobscot language,regular
Aasax,Aasax language,regular
Proto-Khasian,Proto-Khasian language,reconstructed
Proto-Nicobarese,Proto-Nicobarese language,reconstructed
Proto-Pnar-Khasi-Lyngngam,Proto-Pnar-Khasi-Lyngngam language,reconstructed
Proto-Austroasiatic,Proto-Austroasiatic language,reconstructed
Solong,Solong language,regular
Mandobo Atas,Mandobo Atas language,regular
Amarasi,Amarasi language,regular
Abé,Abé language,regular
Ambala Ayta,Ambala Ayta language,regular
Camarines Norte Agta,Camarines Norte Agta language,regular
Abai Sungai,Abai Sungai language,regular
Abaga,Abaga language,regular
Tajiki Arabic,Tajiki Arabic language,regular
Aka-Bea,Aka-Bea language,regular
Abung,Abung language,regular
Abanyom,Abanyom language,regular
Abua,Abua language,regular
Abon,Abon language,regular
Abenlen Ayta,Abenlen Ayta language,regular
Abron,Abron language,regular
Ambonese Malay,Ambonese Malay language,regular
Abure,Abure language,regular
Baharna Arabic,Baharna Arabic language,regular
Pal,Pal language,regular
Inabaknon,Inabaknon language,regular
Aneme Wake,Aneme Wake language,regular
Áncá,Áncá language,regular
Gikyode,Gikyode language,regular
Aka-Kora,Aka-Kora language,regular
Akar-Bale,Akar-Bale language,regular
Eastern Acipa,Eastern Acipa language,regular
Achi,Achi language,regular
Acroá,Acroá language,regular
Omani Arabic,Omani Arabic language,regular
Cypriot Arabic,Cypriot Arabic language,regular
Acheron,Acheron language,regular
Adangme,Adangme language,regular
Adabe,Adabe language,regular
Dzodinka,Dzodinka language,regular
Adele,Adele language,regular
Dhofari Arabic,Dhofari Arabic language,regular
Andegerebinha,Andegerebinha language,regular
Adhola,Adhola language,regular
Adi,Adi language,regular
Abu,Abu language,regular
Adap,Adap language,regular
Adangbe,Adangbe language,regular
Adonara,Adonara language,regular
Adnyamathanha,Adnyamathanha language,regular
Aduge,Aduge language,regular
Amondawa,Amondawa language,regular
Avestan,Avestan language,regular
Areba,Areba language,regular
Argentine Sign Language,Argentine Sign Language,regular
Northeast Pashayi,Northeast Pashayi language,regular
Haeke,Haeke language,regular
Ambele,Ambele language,regular
Arem,Arem language,regular
Armenian Sign Language,Armenian Sign Language,regular
Aer,Aer language,regular
Akeu,Akeu language,regular
Ambakich,Ambakich language,regular
Aeka,Aeka language,regular
Andai,Andai language,regular
Putukwam,Putukwam language,regular
Afghan Sign Language,Afghan Sign Language,regular
Afrihili,Afrihili language,appendix-constructed
Akrukay,Akrukay language,regular
Nanubae,Nanubae language,regular
Eloyi,Eloyi language,regular
Tapei,Tapei language,regular
Afro-Seminole Creole,Afro-Seminole Creole language,regular
Afitti,Afitti language,regular
Awutu,Awutu language,regular
Aguano,Aguano language,regular
Legbo,Legbo language,regular
Agatu,Agatu language,regular
Angal,Angal language,regular
Arguni,Arguni language,regular
Angor,Angor language,regular
Ngelima,Ngelima language,regular
Agariya,Agariya language,regular
Argobba,Argobba language,regular
Isarog Agta,Isarog Agta language,regular
Fembe,Fembe language,regular
Agutaynen,Agutaynen language,regular
Tainae,Tainae language,regular
Esimbi,Esimbi language,regular
Central Cagayan Agta,Central Cagayan Agta language,regular
Aguacateca,Aguacateca language,regular
Remontado Agta,Remontado Agta language,regular
Kahua,Kahua language,regular
Southern Alta,Southern Alta language,regular
Mount Iriga Agta,Mount Iriga Agta language,regular
Ahanta,Ahanta language,regular
Axamb,Axamb language,regular
Qimant,Qimant language,regular
Tiagbamrin Aizi,Tiagbamrin Aizi language,regular
Igo,Igo language,regular
Mobumrin Aizi,Mobumrin Aizi language,regular
Àhàn,Àhàn language,regular
Ahom,Ahom language,regular
Aproumu Aizi,Aproumu Aizi language,regular
Ahirani,Ahirani language,regular
Ashe,Ashe language,regular
Äynu,Äynu language,regular
Ainbai,Ainbai language,regular
Alngith,Alngith language,regular
Agi,Agi language,regular
Antigua and Barbuda Creole English,Antigua and Barbuda Creole English language,regular
Ai-Cham,Ai-Cham language,regular
Lishanid Noshan,Lishanid Noshan language,regular
Ake,Ake language,regular
Aimele,Aimele language,regular
Aimol,Aimol language,regular
Aiton,Aiton language,regular
Burumakok,Burumakok language,regular
Airoran,Airoran language,regular
Arikem,Arikem language,regular
Aighon,Aighon language,regular
Ali,Ali language,regular
Adja,Adja language,regular
Andajin,Andajin language,regular
South Levantine Arabic,South Levantine Arabic language,regular
Ajawa,Ajawa language,regular
Amri Karbi,Amri Karbi language,regular
Angkola Batak,Angkola Batak language,regular
Ukpet-Ehom,Ukpet-Ehom language,regular
Akpa,Akpa language,regular
Anakalangu,Anakalangu language,regular
Angal Heneng,Angal Heneng language,regular
Aiome,Aiome language,regular
Jeru,Jeru language,regular
Aka-Bo,Aka-Bo language,regular
Akurio,Akurio language,regular
Siwu,Siwu language,regular
Ak,Ak language,regular
Akaselem,Akaselem language,regular
Akolet,Akolet language,regular
Akum,Akum language,regular
Aka-Kol,Aka-Kol language,regular
Alago,Alago language,regular
Kawésqar,Kawésqar language,regular
Alege,Alege language,regular
Agawam,Agawam language,regular
Amaimon,Amaimon language,regular
Alangan,Alangan language,regular
Alak,Alak language,regular
Allar,Allar language,regular
Amblong,Amblong language,regular
Larike-Wakasihu,Larike-Wakasihu language,regular
Amasi,Amasi language,regular
Baïnounk Gubëeher,Baïnounk Gubëeher language,regular
Proto-Bua,Proto-Bua language,reconstructed
Proto-Cangin,Proto-Cangin language,reconstructed
Proto-Edekiri,Proto-Edekiri language,reconstructed
Proto-Edoid,Proto-Edoid language,reconstructed
Proto-Fali,Proto-Fali language,reconstructed
Proto-Gbe,Proto-Gbe language,reconstructed
Proto-Guang,Proto-Guang language,reconstructed
Proto-Central Togo,Proto-Central Togo language,reconstructed
Gwara,Gwara language,regular
Proto-Heiban,Proto-Heiban language,reconstructed
Proto-Idomoid,Proto-Idomoid language,reconstructed
Proto-Igboid,Proto-Igboid language,reconstructed
Proto-Kwa,Proto-Kwa language,reconstructed
Proto-Mumuye,Proto-Mumuye language,reconstructed
Proto-Nupoid,Proto-Nupoid language,reconstructed
Proto-Atlantic-Congo,Proto-Atlantic-Congo language,reconstructed
Proto-Volta-Niger,Proto-Volta-Niger language,reconstructed
Proto-Yoruba,Proto-Yoruba language,reconstructed
Proto-Yoruboid,Proto-Yoruboid language,reconstructed
Alaba,Alaba language,regular
Amol,Amol language,regular
Alyawarr,Alyawarr language,regular
Alur,Alur language,regular
Amanayé,Amanayé language,regular
Ambo,Ambo language,regular
Yanesha',Yanesha' language,regular
Hamer-Banna,Hamer-Banna language,regular
Amurdag,Amurdag language,regular
Amdang,Amdang language,regular
War-Jaintia,War-Jaintia language,regular
Amahai,Amahai language,regular
Southern Amami Ōshima,Southern Amami Ōshima language,regular
Amto,Amto language,regular
Guerrero Amuzgo,Guerrero Amuzgo language,regular
Ambelau,Ambelau language,regular
Western Neo-Aramaic,Western Neo-Aramaic language,regular
Anmatyerre,Anmatyerre language,regular
Ami,Ami language,regular
Atampaya,Atampaya language,regular
Aragonese,Aragonese language,regular
Andaqui,Andaqui language,regular
Andoa,Andoa language,regular
Ngas,Ngas language,regular
Ansus,Ansus language,regular
Animere,Animere language,regular
Anor,Anor language,regular
Anu,Anu language,regular
Anal,Anal language,regular
Andoque,Andoque language,regular
Angika,Angika language,regular
Jarawa,Jarawa language,regular
Andh,Andh language,regular
