name,latitude,longitude
!Xóõ,-24,21.5
!Xun,-19.66666667,18
//Ani,-18.91666667,21.91666667
/Xam,-31,21
A-Pucikwar,12.16666667,92.83333333
Aari,6,36.58333333
Abau,-4,141.25
Abaza,44,42
Abenaki,44,-72.25
Abidji,5.666666667,-4.583333333
Abipón,-29,-61
Abkhaz,43.08333333,41
Abui,-8.25,124.6666667
Abun,-0.5,132.5
Acehnese,5.5,95.5
Achagua,4.416666667,-72.25
Achang,25,98.5
Aché,-25.25,-55.16666667
Achí,15.16666667,-90.5
Acholi,3,32.66666667
Achuar,-2.66667,-76
Achumawi,41.5,-121
Acoma,34.91666667,-107.5833333
Adamorobe Sign Language,5.833333333,-0.1666666667
Adang,-8.2,124
Adioukrou,5.416666667,-4.583333333
Abzakh Adyghe,45.23333333,40.58333333
Shapsugh Adyghe,45,38.75
Temirgoy Adyghe,45.21666667,39.7
Adynyamathanha,-30.5,139.5
Adzera,-6.25,146.25
Aekyom,-5.75,141.4166667
Afrikaans,-31,22
Agarabi,-6.166666667,146
Aghem,6.666666667,10
Aghu,-6.166666667,140.1666667
Aghul,41.75,47.66666667
Agta,17.96666667,121.8333333
Dupaningan Agta,18,122.0833333
Aguacatec,15.41666667,-91.33333333
Aguaruna,-5,-78
Ahtna,62,-145
Aikaná,-12.66666667,-60.66666667
Ainu,43,143
Aizi,5.25,-4.5
Aja,7.333333333,25.66666667
Ajagbe,7,1.75
Ajië,-21.33333333,165.5
Aka,2.666666667,16.25
Aka-Biada,11.66666667,92.5
Aka-Cari,13.5,93
Aka-Kede,12.75,92.75
Akan,6.5,-1.25
Akawaio,6,-59.5
Akha,21.83333333,99.83333333
Akhvakh,42.33333333,46.33333333
Aklanon,11.58333333,122.3333333
Akwa,0,16.5
Ala'ala,-8.916666667,146.75
Alabama,32.33333333,-87.41666667
Alagwa,-5.5,35.75
Alamblak,-4.666666667,143.3333333
Alas,3.666666667,97.83333333
Alawa,-15.16666667,134.25
Albanian,41,20
Aleut,54,-166
Eastern Aleut,54.75,-164
Algonquin,46,-77
Alladian,5.166666667,-4.333333333
Allentiac,-31,-68
Alsatian,48.5,7.5
Alsea,44.66666667,-123.9166667
Southern Altai,51,87
Alune,-3,128.3333333
Alutiiq,57,-157
Alutor,61,165
Alyawarra,-22.5,135
Ama,-4.216666667,141.6166667
Amahuaca,-10.5,-72.5
Amanab,-3.583333333,141.25
Amara,-5.666666667,148.5
Amarakaeri,-12.5,-70.5
Lolovoli Northeast Ambae,-15.41666667,167.8833333
Ambai,-1.833333333,136.5
Ambulas,-3.833333333,143
Amdo,35,100
Themchen Amdo,38,98
Amele,-5.25,145.5833333
American Sign Language,39,-78
Amharic,10,38
Amis,23.33333333,121.3333333
Amo,10.33333333,8.666666667
Ampeeli,-6.75,146.0833333
Amuesha,-10.5,-75.41666667
Amuzgo,16.83333333,-98
Anamuxra,-4.666666667,145
Andi,42.75,46.25
Andoke,-0.6666666667,-72
Anejom,-20.2,169.8
Anêm,-5.583333333,149.0833333
Angaataha,-7.216666667,146.25
Angami,25.66666667,94.5
Angas,9.5,9.5
Anggor,-3.75,141.1666667
Angolar,0.25,6.5
Anguthimri,-12.33333333,141.8333333
Anindilyakwa,-14,136.5
Anong,27.33333333,98.75
Anufo,10.08333333,0.25
Anyi,7,-3.5
Anywa,8,33.5
Ao,26.58333333,94.66666667
Chiricahua Apache,33.25,-108
Jicarilla Apache,36.58333333,-104
Western Apache,33.75,-110
Apalaí,0,-54
Apatani,27.5,93.75
Apinayé,-5.5,-48
Apurinã,-9,-67
Arabana,-28.25,136.25
Arabela,-2,-75.16666667
Bahrain Arabic,26,50.5
Bani-Hassan Arabic,20,-10
Beirut Arabic,33.91666667,35.5
Borno Nigerian Arabic,8.583333333,12.41666667
Chadian Arabic,13.83333333,20.83333333
Eastern Libyan Arabic,32,22
Egyptian Arabic,30,31
Gulf Arabic,26,49
Hijazi Arabic,26,38
Iraqi Arabic,33,44
Kormakiti Arabic,35.25,33.5
Kuwaiti Arabic,29.5,47.5
Lebanese Arabic,34,36
Arabic,25,42
Moroccan Arabic,34,-6
Negev Arabic,30.5,34.75
North Levantine Arabic,33.75,36
Palestinian Arabic,32,35.25
San'ani Arabic,16,44
Syrian Arabic,34,38
Tunisian Arabic,36.75,10.25
Marma Arakanese,21.5,92.5
Araki,-15.66666667,166.9166667
Aralle-Tabulahan,-2.75,119.25
Arandai,-2.083333333,133
Araona,-12.33333333,-67.75
Arapaho,40,-103
Abu Arapesh,-3.45,142.95
Mountain Arapesh,-3.466666667,143.1666667
Arbore,5,36.75
Archi,42,46.83333333
Are'are,-9.25,161.1666667
Aribwatsa,-6.716666667,147
Arikara,45.5,-100.5
Eastern Armenian,40,45
Iranian Armenian,32.66666667,51.66666667
Western Armenian,38.5,43.5
Arop-Lokep,-5.383333333,147.05
Arosi,-10.25,161.3333333
Arrernte,-24,134
Mparntwe Arrernte,-24,136
Western Arrernte,-24,132.5
Asmat,-5.5,138.5
Assamese,26,93
Asturian,43.25,-6
Asuriní,-3.5,-49.5
Atacameño,-23,-69
Atakapa,30,-93.5
Atayal,24.5,121.3333333
Atchin,-16,167.3333333
Athpare,27,87.33333333
Atikamekw,48,-74
Atsugewi,40.75,-121
Au,-3.583333333,142.0833333
Aulua,-16.33333333,167.6666667
Auslan,-30,145
Auyana,-6.5,145.75
Avar,42.5,46.5
Avatime,6.833333333,0.4166666667
Avikam,5.166666667,-5.5
Avokaya,4.666666667,30
Awa,-6.666666667,145.75
Awa Pit,1.5,-78.25
Awadhi,27.5,81.5
Awngi,10.83333333,36.66666667
Awtuw,-3.583333333,142
Awyi,-2.916666667,140.5833333
Ayiwo,-10.33333333,166.25
Central Aymara,-17,-69
Aynu,39.5,76
Ayomán,11,-69
Ayoreo,-20.25,-59.25
Iranian Azari,37.5,47
Azerbaijani,40.5,48.5
Baale,6.5,34.5
Babole,1.083333333,17.25
Babungo,6.116666667,10.41666667
Bachamal,-13.16666667,130.1666667
Badaga,11.66666667,76.75
Bade,12.83333333,10.5
Badimaya,-27.66666667,118
Bafia,5,11.16666667
Bafut,6.25,9.916666667
Baga Sitemu,10.5,-14.5
Bagirmi,11.66666667,16
Bagiro,4.333333333,20.58333333
Bagri,29.58333333,74.33333333
Bagvalal,42.58333333,46.16666667
Baham,-3.166666667,132.6666667
Bahinemo,-4.583333333,142.8333333
Bahnar,13.83333333,108.3333333
Bai,26,100
Sama Bajau,-4.333333333,123
West Coast Bajau,6.333333333,116.3333333
Baka (Cameroon),2.583333333,13.58333333
Baka (South Sudan),4.833333333,29.25
Bakairí,-14,-55
Bakueri,4.25,9.25
Bakundu,4.833333333,9.333333333
Balangao,17.16666667,121.1666667
Balanta,12.25,-15.33333333
Balantak,-0.8333333333,123.25
Bali-Vitu,-4.9,149.1166667
Balinese,-8.333333333,115.25
Balti,35,76
Baluchi,28,62
Bambam,-3.083333333,119.0833333
Bambara,12.5,-7.5
Bamun,5.5,10.91666667
Bana,10.41666667,13.58333333
Banawá,-7,-65
Bandi,8.083333333,-10.25
Bandjalang,-28.75,153
Casino Bandjalang,-28.91666667,153
Waalubal Bandjalang,-29.08333333,152.5833333
Yugumbir Bandjalang,-27.91666667,153
Banggai,-1.416666667,123.1666667
Banggarla,-32,137
Banggi,7.25,117.1666667
Bangime,14.91666667,-3.833333333
Baniva,5.26,-67.56
Baniwa,2.666666667,-66.83333333
Bankon,4.416666667,9.583333333
Banoni,-6.416666667,155.25
Bantik,1.416666667,124.75
Bao'an,35.75,102.8333333
Baoulé,7,-5
Baragaunle,28.83333333,83.83333333
Barai,-9.333333333,148.0833333
Barambu,3.5,27
Barasano,-0.1666666667,-70.66666667
Bardi,-16.58333333,122.9166667
Baré,1,-67
Bargam,-4.883333333,145.75
Bari,5,31.66666667
Barí,9,-73
Bariba,10,2.5
Barupu,-3.083333333,142.0833333
Baruya,-6.916666667,145.9166667
Basaá,3.916666667,10.5
Basari,12.66666667,-13
Bashkir,53,58
Basque,43,-3
Basaburua and Imoz Basque,43,-1.666666667
Bidasoa Valley Basque,43,-3.833333333
Gernica Basque,43.33333333,-3
Hondarribia Basque,42.5,-3
Lekeitio Basque,43,-2.5
Northern High Navarrese Basque,43.33333333,-2.5
Oñati Basque,42.5,-3.5
Roncalese Basque,43,-2
Sakana Basque,42.5,-2
Souletin Basque,43.5,-1.5
Zeberio Basque,42,-3
Batak,10.25,119.0833333
Karo Batak,3.25,98.25
Toba Batak,2.5,99
Bathari,18,56
Bau,-5.25,145.6166667
Baure,-13.08333333,-64.16666667
Bauzi,-2.5,137.5
Bawm,22.5,92.25
Bayso,6.25,37.75
Bayungu,-23,114
Beembe,-3.916666667,14.08333333
Begak-Ida'an,5.25,118.8333333
Beja,18,36
Belhare,26.96666667,87.3
Bella Coola,52.5,-126.6666667
Belorussian,54,28
Bemba,-10,28.25
Bena-Lulua,-6,21
Benabena,-6.166666667,145.5
Beng,7.833333333,-4.25
Benga,1.166666667,9.416666667
Bengali,24,90
Chittagong Bengali,22.33333333,91.83333333
Beothuk,48,-57
Bera,1.5,30.03
Ayt Seghrouchen Middle Atlas Berber,33.33333333,-4.666666667
Chaouia Berber,35,7
Figuig Berber,32.5,-1.5
Middle Atlas Berber,33,-5
Mzab Berber,32.5,3.5
Rif Berber,34.5,-4
Siwa Berber,29.16666667,25.5
Wargla Berber,31.91666667,5.333333333
Berbice Dutch Creole,5.333333333,-58
Beria,16,23
Berik,-2.25,138.8333333
Berta,10.33333333,34.66666667
Bété,6.25,-6.25
Betoi,7.166666667,-71.25
Betta Kurumba,11.5,76.75
Bezhta,42.08333333,46.16666667
Bhili,22,73
Bhojpuri,26,84
Bhumij,21.33333333,86.5
Biafada,11.41666667,-15.16666667
Biak,-1,136
Biatah,1.25,110
Bidiya,11.91666667,18.75
Bikol,13.33333333,123.5
Bila,1,28.75
Koronadal Bilaan,6,125.3333333
Bilin,15.75,38.5
Bilinarra,-16,131.6666667
Biloxi,30.5,-88.66666667
Bilua,-7.75,156.6666667
Bima,-8.5,118.5
Bimoba,10.5,0
Binandere,-8.25,148
Binga,8,25
Bini,6.416666667,5.833333333
Bininj Gun-Wok,-12.5,133.75
Binukid,8.25,124.8333333
Binumarien,-6.283333333,146.0833333
Biri,-20.5,146.5
Birom,9.666666667,8.833333333
Birri,5.5,25.16666667
Bisa,11.5,-0.5
Bislama,-16,168
Bisu,19.75,100
Blackfoot,50,-112.6666667
Kuni Boazi,-7,141.3333333
Bobangi,-1.333333333,17.33333333
Northern Bobo Madaré,12.41666667,-4.333333333
Bodo,26.83333333,92
Boiken,-3.5,143.5
Bokar,28.5,94.66666667
Boko,10.5,3.5
Bole,11.33333333,11.25
Bolia,-1.25,18.33333333
Bongo,7.5,28.5
Bongu,-5.5,145.9166667
Bontok,17.08333333,120.9166667
Bora,-2.166666667,-72.33333333
Bori,28.33333333,94.75
Bororo,-16,-57
Boruca,8.833333333,-83.25
Bosnian,43,18
Tigemaxo Bozo,15,-4
Brahui,28.5,67
Brao,14.16666667,107.5
Breton,48,-3
Bribri,9.416666667,-83
British Sign Language,52,-1
Broken,-10.16666667,143
Brokskat,35.33333333,76.5
Eastern Bru,17.33333333,106
Western Bru,16.75,104.75
Bubi,3.5,8.666666667
Budu,2,28
Budukh,41.16666667,48.41666667
Buduma,13.5,14.5
Bugis,-4,120
Buglere,8.5,-81.25
Bugun,27.5,92.58333333
Buin,-6.75,155.75
Bujeba,3,10.16666667
Bukusu,0.75,34.66666667
Bularnu,-21,138
Bulgarian,42.5,25
Buli (Ghana),10.5,-1.25
Buli (Indonesia),1,128.5
Bulu,3,11
Buma,-11.63333333,166.8333333
Bunan,32.5,77
Younuo Bunu,24,107
Bunuba,-17.75,125.75
Bura-Pabir,10.5,12.25
Burarra,-12.25,134.5833333
Buriat,52,108
Burji,5.5,37.83333333
Burmese,21,96
Buru,-3.5,126.5
Burum,-6.5,147.3333333
Burunge,-5.333333333,36
Burushaski,36.5,74.5
Busa,9.666666667,4
Bushoong,-4.5,21.5
Bwele,3.216666667,19.28333333
Byansi,30.16666667,80.5
Cabécar,9.75,-83.41666667
Cacua,1.083333333,-70
Caddo,33.33333333,-93.5
Cahuilla,33.5,-116.25
Cakchiquel,14.5,-91
Camling,27,86.66666667
Axininca Campa,-12,-74
Campa Pajonal Asheninca,-10.66666667,-74.25
Camsá,1.166666667,-77
Canamarí,-6.5,-68.5
Candoshi,-4.166666667,-77
Canela,-7,-45
Cantonese,23,113
Capanahua,-7,-74
Carapana,0.8333333333,-70.75
Carib,5.5,-56
De'kwana Carib,5.5,-65
Carijona,1,-73
Carolinian,15.2,145.75
Carrier,53.75,-123.5
Cashibo,-8.5,-75.5
Cashinahua,-10.5,-71.83333333
Catalan,41.75,2
Catawba,35.5,-80.5
Catio,7.166666667,-76.33333333
Cavineña,-13.33333333,-66.5
Cayapa,0.6666666667,-79
Cayuga,42.75,-76.75
Cayuvava,-13.5,-65.5
Cebuano,10,124
Cèmuhî,-20.83333333,165.1666667
Chácobo,-12.16666667,-66.75
Chaga,-3,37
Chaha,8.112935,37.93267
Chai,5.333333333,35.33333333
Modern Chaldean,36,43
Eastern Cham,11.33333333,108.5
Western Cham,12,105.5
Chamalal,42.55,46.05
Chambri,-4.166666667,143.0833333
Chamorro,13.45,144.75
Chang,26.33333333,94.75
Chantyal,28.58333333,83.41666667
Chasta Costa,42.66666667,-124
Nopala Chatino,16.08333333,-97.16666667
Sierra Occidental Chatino,16.25,-97.33333333
Tataltepec Chatino,16.16666667,-97.58333333
Yaitepec Chatino,16.25,-97.25
Chaudangsi,30,80.25
Chavacano,7,122.0833333
Chayahuita,-5.5,-77
Chechen,43.25,45.83333333
Upper Chehalis,46.58333333,-123
Cheke Holo,-8.333333333,159.6666667
Chemakum,48.08333333,-122.9166667
Chemehuevi,34.33333333,-115.1666667
Chepang,27.66666667,84.75
Cherokee,35.5,-83.5
Cheyenne,47,-95
Chichewa,-14,34
Chichimeca-Jonaz,21.66666667,-100.5
Chickasaw,34,-88
Chicomuceltec,15.5,-92.25
Chimariko,41,-123
Chimila,10,-74
Mara Chin,23,93.16666667
Siyin Chin,23.83333333,94
Tiddim Chin,23.33333333,93.66666667
Comaltepec Chinantec,17.58333333,-96.41666667
Lealao Chinantec,17.33333333,-95.91666667
Palantla Chinantec,18.83333333,-96.75
Quiotepec Chinantec,17.58333333,-96.66666667
San Felipe Usila Chinantec,17.91666667,-96.5
Sochiapan Chinantec,17.75,-96.66666667
Tepetotutla Chinantec,17.83333333,-96.5
Chinese Sign Language,35,115
Lower Chinook,46.25,-123.5
Upper Chinook,45.62,-121.16
Chipaya,-18.75,-67.83333333
Chipewyan,59,-106
Red Lake and Pillager Chippewa,48,-95
Chiquitano,-17.5,-60
Chiriguano,-23.66666667,-64.33333333
Chitimacha,29.66666667,-91
Chocho,17.66666667,-97.41666667
Choctaw,32.25,-88.5
Chol,17.75,-92.5
Cholón,-8,-77.5
Highland Chontal,16.25,-95.75
Huamelultec Oaxaca Chontal,16,-95.75
Chontal Maya,18.16666667,-92.58333333
Chorote,-22.5,-62.5
Chortí,14.83333333,-89.25
Chrau,10.75,107.5
Chru,11.5,108.5
Chuave,-6.116666667,145.1166667
Chuj,15.91666667,-91.58333333
Chukchi,67,-173
Chulym,54.33333333,89.66666667
Barbareño Chumash,34.5,-120.25
Ineseño Chumash,34.66666667,-120.25
Chumburung,7.75,0.25
Chuukese,7.333333333,151.75
Chuvash,55.5,47.5
CiLuba,-6,22
Clallam,48.08333333,-123.75
Coahuilteco,28,-100
Cocama,-5,-74.5
Cocopa,32.33333333,-115
Coeur d'Alene,47.25,-116.5
Cofán,0.1666666667,-77.16666667
Cogui,11,-73.83333333
Colac,-38.33333333,143.5
Columbia-Wenatchi,47.5,-120
Comanche,33.5,-101.5
Comecrudo,25.83333333,-99
Comorian,-12,44
Comox,50.16666667,-125
Hanis Coos,43.5,-124.1666667
Coptic,26,32
Cora,22.16666667,-104.8333333
Cornish,50.33333333,-5
Plains Cree,54,-110
Swampy Cree,56,-90
Creek,34,-85
Crimean Tatar,45,34.08333333
Crow,47,-108
Cua,15.25,108.5
Cubeo,1.333333333,-70.5
Cuiba,6.5,-70
Cuica,9,-70.5
Cuicatec,17.83333333,-96.83333333
Cuitlatec,17.5,-101
Culina,-6,-70.5
Cupeño,33.16666667,-116.5
Curripaco,2.5,-68.5
Czech,50,15
Da'a,-1,119.5833333
Daba,10.16666667,13.75
Dabida,-4,38.66666667
Dadibi,-6.55,144.5833333
Dadjriwalé,5.25,-5.666666667
Daga,-10,149.3333333
Dagaare,10.5,-2.666666667
Dagbani,9.583333333,-0.5
Dagur,48,124
Dahalo,-2.333333333,40.5
Dar Fur Daju,12.25,25.25
Dakota,45,-93.5
Damana,11,-73.5
Dan,7.5,-8
Western Dangaléat,12.16666667,18.33333333
Lower Grand Valley Dani,-4.333333333,138.8333333
Danish,56,10
Darai,24,84
Dargwa,42.25,47.41666667
Dari,35,66
Darma,30,79.75
Datooga,-4.333333333,35.33333333
Dâw,-0.25,-67.08333333
Day,8.75,17.83333333
Defaka,4.583333333,7.5
Degema,4.75,6.75
Degexit'an,62,-160
Dení,-6,-67
Desano,0.8333333333,-69.83333333
Deti,-20.5,24.5
Deuri,26,90.25
Deutsche Gebärdensprache,52,11
Dhaasanac,4.666666667,36.33333333
Dhalandji,-22.08,115
Dharawal,-34.5,150.5
Dhargari,-23.75,114.9166667
Dharumbal,-22.75,150.5
Dhimal,26.66666667,87.75
Dhivehi,4.166666667,73.5
Dhurga,-35.66666667,150
Dätiwuy Dhuwal,-12.16666667,136.25
Didinga,4.5,33.5
Mesa Grande Diegueño,32.66666667,-116.1666667
Digaro,28.41666667,96
Dii,8,14
Dimasa,25.5,93
Dime,6.166666667,36.25
Ding,-4.333333333,19.5
Dinka,8.5,28
Diola-Fogny,13,-16.25
Diola-Kasa,12.5,-16.75
Diyari,-28,139
Dizi,6.166666667,36.5
Djabugay,-16.75,145.5833333
Djambarrpuyngu,-12.16666667,135.5
Djapu,-12.66666667,136
Djaru,-18.75,128
Djinang,-12.33333333,134.8333333
Djingili,-17.75,134
Menggwa Dla,-3.55,141.0333333
Proper Dla,-3.583333333,141
Dobel,-6.25,134.6666667
Dogri,33,75
Dolgan,71.25,98
Domaaki,36.16666667,74
Domari,32,35
Southern Dong,27,109
Dongo,3,30
Donno So,14.33333333,-3.583333333
Doutai,-3.333333333,138.1666667
Doyayo,8.666666667,13.08333333
Drehu,-21,167.25
Duala,4,9.416666667
Duka,11.16666667,5.083333333
Gollango Dullay,5.5,37.25
Dulong,28,98.33333333
Duma,-0.95,13
Casiguran Dumagat,16.33333333,122
Dumi,27.25,86.66666667
Dumo,-2.683333333,141.3
Duna,-5.5,142.5
Dutch,52.5,6
Brabantic Dutch,50.75,4.5
Limburg Dutch,51,5.5
Zeeuws Dutch,51.5,3.75
Dyimini,8.416666667,-4.416666667
Dyirbal,-17.83333333,145.5833333
Dyula,9.833333333,-4.666666667
Ebira,8.166666667,7
Edolo,-6.166666667,142.6666667
South Efate,-17.75,168.4166667
Efik,4.916666667,8.5
Ega,5.5,-5.5
Eipo,-4.333333333,140.0833333
Ejagham,5.416666667,8.666666667
Ekari,-3.833333333,135.5
Ekoti,-16.5,39.5
Elseng,-3,140.5
Emai,7.083333333,5.916666667
Embaloh,1.166666667,112.3333333
Northern Emberá,6.833333333,-77.16666667
Embera Chami,5,-76
Émérillon,3.166666667,-52.41666667
Emmi,-13.5,130
Enets,67.5,86.5
Enga,-5.5,143.6666667
Engenni,5.166666667,6.383333333
Enggano,-5.416666667,102.25
English,52,0
Enya,-0.5,25.25
Epena Pedee,3,-77
Erromangan,-18.83333333,169.1666667
Ese Ejja,-11,-66
Esmeraldeño,0.3333333333,-79.83333333
Esselen,36.25,-121.75
Estonian,59,26
Etsako,7.25,6.5
Eudeve,29.16666667,-109.6666667
Even,68,130
Evenki,56,125
Ewe,6.333333333,0.4166666667
Anlo Ewe,6,1
Ewondo,4,12
Eyak,60.5,-145
Faroese,62,-7
Fasu,-6.583333333,143.3333333
Fe'fe',5.25,10.16666667
Fijian,-17.83333333,178
Wayan Fijian,-17,177.3
Finnish,62,25
Finnish Sign Language,62,26
Fiote,-5.5,14
Foe,-6.5,143.5
Folopa,-7,144.5
Fongbe,6.416666667,2.166666667
Fordata,-6.75,131.5
Fore,-6.75,145.5
Fox,43,-83
French,48,2
Frisian,53,5
Eastern Frisian,53.58333333,7.5
North Frisian,54.5,9
Western Frisian,53,6
Liptako Ful,13.5,0.5
Burkina Faso Fula,14,0
Guinean Fula,11.5,-12.5
Senegal Fula,15,-14
Adamawa Fulfulde,9.166666667,13.5
Maasina Fulfulde,15,-5
Nigerian Fulfulde,10.25,11.25
Fulniô,-8,-37.5
Fur,13.5,25
East Futuna,-14.33333333,-178.1666667
Futuna-Aniwa,-19.53333333,170.2166667
Fuzhou,26,119.5
Fyem,9.583333333,9.333333333
Gã,5.666666667,-0.1666666667
Ga'anda,10.33333333,12.58333333
Gaagudju,-12.58333333,132.8333333
Gaalpu,-12.66666667,136.75
Kondekor Gadaba,18.75,83.5
Gade,8.666666667,7.416666667
Gadsup,-6.25,146
Scots Gaelic,57,-4
Gagauz,46.33333333,28.66666667
Gahuku,-6,145.4166667
Galela,2.416666667,128.3333333
Galician,43,-8
Galo,28.16666667,94.66666667
Gamilaraay,-29.83333333,149.5
Gamo,6.666666667,37.25
Gapapaiwa,-9.75,149.8333333
Garífuna,15.66666667,-88
Garo,25.66666667,90.5
Garrwa,-17.08333333,137.1666667
Garus,-4.95,145.6666667
Gavião,-10.66666667,-62
Gayo,4.5,97.5
Northwest Gbaya,6,15
Southwest Gbaya,4.7,14.96
Gbeya Bossangoa,6.666666667,17.5
Gela,-9.083333333,160.25
Gelao,22.91666667,105.5
Georgian,42,44
German,52,10
Appenzell German,47.33333333,9.333333333
Bavarian German,49,11.5
Berlin German,52.5,13.33333333
Bern German,47,7.416666667
Hannover German,52.41666667,9.666666667
Mansfeldisch German,51.58333333,11.5
Ostschweiz German,47.41666667,9.25
Ripuarian German,51,7
Thurgau German,47.58333333,9.166666667
Thuringian German,51,11
Timisoara German,45.75,21.25
Upper Austrian German,47,14
Viennese German,48.16666667,16.33333333
Westphalian German,52,7.5
Zurich German,47.41666667,8.5
Ghotuo,7.083333333,5.75
Ghulfan,12,31
Gidabal,-28.41666667,152.4166667
Gidar,10,14
Gilaki,37.33333333,50
Gimira,7,35.75
Gitksan,55.33333333,-127.75
Giziga,10.33333333,14.16666667
Goajiro,12,-72
Godié,5.416666667,-5.833333333
Godoberi,42.66666667,46.08333333
Goemai,8.666666667,9.75
Gogodala,-8.083333333,142.8333333
Gojri,32.75,76.25
Gokana,4.583333333,7.333333333
Gola,7.25,-10.83333333
Golin,-6.333333333,144.75
Gondi,19,81
Gooniyandi,-18.33333333,126.3333333
Gorontalo,0.5,122
Gorowa,-4.5,36.5
Great Andamanese,12,92.66666667
Grebo,5,-8
Cypriot Greek,34.75,33
Modern Greek,39,22
Greek Sign Language,38.5,22
East Greenlandic,65,-40
South Greenlandic,60,-44
West Greenlandic,64,-51
Guadeloupe Creole,16.25,-61.5
Guahibo,5,-69
Guajajara,-5,-46
Guambiano,2.5,-76.66666667
Guana,-22,-58
Guanano,0.8333333333,-69.5
Guaque,1,-72.08333333
Guaraní,-26,-56
Guarijío,27.75,-108.6666667
Guató,-17,-58
Guayabero,2.833333333,-72
Gude,10.41666667,13.41666667
Guduf,11.23333333,13.8
Guere,6.666666667,-7.75
Gugada,-30,134
Gugadj,-18.5,140.5
Guhu-Samane,-8,147.3333333
Guianese French Creole,5,-53
Guinea Bissau Crioulo,12,-15
Gujarati,23,72
Gula (Central African Republic),9.5,22.5
Gula Iro,10.25,19.41666667
Gumatj,-12.5,135.5
Gumawana,-9.25,150.8333333
Gumbaynggir,-30.16666667,152.5
Gumuz,12.5,35.83333333
Gunbalang,-12,134
Gungbe,6.5,2.5
Gunin,-14.25,126.6666667
Gunu,4.583333333,11.25
Gününa Küne,-41,-67
Gunya,-26.5,146.5
Gupapuyngu,-12,136
Gureng Gureng,-25.25,151
Gurenne,10.83333333,-0.9166666667
Gurindji,-17.66666667,130.6666667
Gurma,12.25,1
Guro,7,-6
Gurr-goni,-12.25,134.4166667
Gurung,28.33333333,84.33333333
Gusii,-0.75,34.83333333
Gutob,19,83.66666667
Guugu Yimidhirr,-15,144.8333333
Gwari,9.5,7
Gworok,9.916666667,8.166666667
Cogtse Gyarong,31.5,102
Hadza,-3.75,35.16666667
Haida,53,-132
Northern Haida,54,-132.5
Haisla,54,-128.75
Haitian Creole,19,-72.5
Hakka,25,116
Halang,14.5,107.5
Halbi,21,81
Halia,-5.25,154.6666667
Island Halkomelem,49.2,-123
Upriver Halkomelem,49.25,-121.9166667
Hamer,5,36.5
Hamtai,-7.5,146.25
Hanga Hundi,-3.833333333,142.9166667
Hani,23,103
Hanunóo,12.33333333,121.25
Harari,9.25,42.16666667
Harsusi,20,56.5
Haruai,-5.083333333,144.1666667
Hatam,-1,134
Hausa,12,7
Havasupai,35.75,-112.5
Hawaiian,19.58333333,-155.5
Hawaiian Creole,21.5,-158
Hawrami,35.75,45.5
Haya,-2,31.5
Hayu,27.25,86
Hdi,11.86666667,13.71666667
Modern Ashkenazic Hebrew,31.75,35.16666667
Modern Hebrew,31.5,34.83333333
Hehe,-8,36
Heiltsuk,52,-127.5
Hemba,-6.25,27.16666667
Herero,-20.58333333,19
Hianacoto,0.8333333333,-71
Hidatsa,47,-102.5
Hiligaynon,10.25,123
Hindi,25,77
Hinuq,42.16666667,46
Hixkaryana,-1,-59
Baoding Hlai,19,109.5
Hmar,24.16666667,93
Hmong Daw,26,105
Hmong Njua,28,105
Ho,22,86
Hoava,-8.083333333,157.5
Holoholo,-5.166666667,29.91666667
Hong Kong Sign Language,22.5,114
Hopi,36,-110
Hre,14.66666667,108.6666667
Hua,-6.333333333,145.3333333
Hualapai,35.5,-113.75
Huambisa,-4,-78
Huastec,22.08333333,-99.33333333
San Mateo del Mar Huave,16.21666667,-95
Huichol,22,-104
Minica Huitoto,-0.3333333333,-74
Muinane Huitoto,-2.416666667,-71
Murui Huitoto,-1,-73.5
Hunde,-1.166666667,28.83333333
Hungarian,47,20
Hunzib,42.16666667,46.25
Hup,0.1666666667,-69.25
Hupa,41.08333333,-123.6666667
Hyow,22.08333333,92.41666667
I'saka,-2.833333333,141.2833333
Iaai,-20.41666667,166.5833333
Iatmul,-4.25,143.25
Iau,-3.166666667,137.5
Iban,2,112
Ibanag,17.5,121.6666667
Ibibio,5.25,7.833333333
Icelandic,65,-17
Icelandic Sign Language,65,-18
Idoma,6.916666667,7.5
Idu,29.33333333,95.83333333
Iduna,-9.333333333,150.25
Ifira-Mele,-17.75,168.25
Batad Ifugao,16.83333333,121.0833333
Ifumu,-3.666666667,15.33333333
Igbo,6,7.333333333
